Title,URL,Year,Investigation Type,Geographic Keywords,Culture,Language
"            Archaeological Survey and Test Excavations in the Burnsville Reservoir 1971-1975             
",https://core.tdar.org//project/447952/archaeological-survey-and-test-excavations-in-the-burnsville-reservoir-1971-1975,,"Heritage Management, Reconnaissance / Survey","Braxton (County), Burnsville Reservoir, West Virginia (State / Territory)",,
"            Archaeological Survey of Beech Fork Lake 1973-1975             
",https://core.tdar.org//project/447998/archaeological-survey-of-beech-fork-lake-1973-1975,,"Archaeological Overview, Data Recovery / Excavation, Heritage Management, Reconnaissance / Survey","Beech Fork Lake, Cabell (County), Lavalette, Wayne (County)",,
"            Archaeological Survey of East Lynn Reservoir 1964-1965             
",https://core.tdar.org//project/448003/archaeological-survey-of-east-lynn-reservoir-1964-1965,,"Heritage Management, Reconnaissance / Survey","East Lynn Reservoir, Wayne (County), West Virginia (State / Territory)",,
"            An archaeology of colonial consumption: Sydney trade and material culture, 1788–1901             
",https://core.tdar.org//project/452655/an-archaeology-of-colonial-consumption-sydney-trade-and-material-culture-17881901,,"Collections Research, Historic Background Research, Methodology, Theory, or Synthesis",Sydney NSW Australia,Colonial Australian,
"            Burnsville Surface Collection (46BX23) N.D.             
",https://core.tdar.org//project/448104/burnsville-surface-collection-46bx23-nd,,Heritage Management,"Braxton (County), Burnsville Reservoir, West Virginia (State / Territory)",,
"            Cibola Breadstuff: Foodways and Social Transformation in the Cibola Region A.D. 1150-1400             
",https://core.tdar.org//project/448120/cibola-breadstuff-foodways-and-social-transformation-in-the-cibola-region-ad-1150-1400,,"Collections Research, Methodology, Theory, or Synthesis","Arizona, Cibola, Cibola (County), El Morro Valley, New Mexico, Upper Little Colorado River, Zuni Indian Reservation","Anasazi, Ancestral Puebloan, Cibola, Mogollon, Western Pueblo, Zuni",
"            Games of Thrones: Board Games and Social Complexity in Bronze Age Cyprus             
",https://core.tdar.org//project/448156/games-of-thrones-board-games-and-social-complexity-in-bronze-age-cyprus,,"Archaeological Overview, Collections Research, Methodology, Theory, or Synthesis",CYPRUS,"Early Cypriot, Late Cypriot, Middle Cypriot",
"            Local Chert Reduction, Maintenance, and Toolmaking: Terminal Classic Chert Use at Nohmul, Belize (dataset)             
",https://core.tdar.org//project/455194/local-chert-reduction-maintenance-and-toolmaking-terminal-classic-chert-use-at-nohmul-belize-dataset,,Collections Research,"Belize, Central America, Mesoamerica",Maya,
"            Papago Road Addendum Survey for San Xavier Farm Extension Project             
",https://core.tdar.org//project/453371/papago-road-addendum-survey-for-san-xavier-farm-extension-project,,"Archaeological Overview, Systematic Survey",Pima (County),"Euroamerican, Historic, Historic Native American, Hohokam",
"            Permian Basin Mitigation Program, Transect Recording Unit Survey and Small-Scale Excavations at 42 Sites Along the Southwest Pecos Slopes, Eddy County, New Mexico             
",https://core.tdar.org//project/448045/permian-basin-mitigation-program-transect-recording-unit-survey-and-small-scale-excavations-at-42-sites-along-the-southwest-pecos-slopes-eddy-county-new-mexico,,"Archaeological Overview, Data Recovery / Excavation, Methodology, Theory, or Synthesis, Reconnaissance / Survey","Carlsbad, New Mexico, Southwest Pecos Slopes","Archaic, Mogollon",
"            PIA Atalla             
",https://core.tdar.org//project/454713/pia-atalla,,"Data Recovery / Excavation, Reconnaissance / Survey",,"Atalla, Chavin, Chuncuimarca, Cupisnique, Paracas",
"            Shade Tree             
",https://core.tdar.org//project/448024/shade-tree,,Data Recovery / Excavation,"Lowcountry, Sea Islands","African American, Historic",
"            Supplementary information files, Food and Society at Real Alto, an Early Formative Community in Southwest Coastal Ecuador             
",https://core.tdar.org//project/448921/supplementary-information-files-food-and-society-at-real-alto-an-early-formative-community-in-southwest-coastal-ecuador,,,Republic of Ecuador (Country),Valdivia,
"            El Morro Valley Survey-Wake Forest University             (1963)
",https://core.tdar.org//document/455089/el-morro-valley-survey-wake-forest-university,1963,Systematic Survey,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            An Archaeological Survey of East Lynn Reservoir, Wayne County, West Virginia             (1965)
",https://core.tdar.org//document/447994/an-archaeological-survey-of-east-lynn-reservoir-wayne-county-west-virginia,1965,"Data Recovery / Excavation, Heritage Management, Reconnaissance / Survey","East Lynn Reservoir, Wayne (County), West Virginia (State / Territory)",,"
            English
            "
"            Archaeological Survey and Test Excavations in the Burnsville Reservoir 1971-1975, Archival Photograph, 2076-0079             (1973)
",https://core.tdar.org//image/447945/archaeological-survey-and-test-excavations-in-the-burnsville-reservoir-1971-1975-archival-photograph-2076-0079,1973,"Heritage Management, Reconnaissance / Survey","Braxton (County), Burnsville Reservoir, West Virginia (State / Territory)",,
"            Archaeological Survey and Test Excavations in the Burnsville Reservoir 1971-1975, Archival Photograph, 2076-0081             (1973)
",https://core.tdar.org//image/447947/archaeological-survey-and-test-excavations-in-the-burnsville-reservoir-1971-1975-archival-photograph-2076-0081,1973,"Heritage Management, Reconnaissance / Survey","Braxton (County), Burnsville Reservoir, West Virginia (State / Territory)",,
"            Archaeological Survey and Test Excavations in the Burnsville Reservoir 1971-1975, Archival Photograph, 2076-0082             (1973)
",https://core.tdar.org//image/447948/archaeological-survey-and-test-excavations-in-the-burnsville-reservoir-1971-1975-archival-photograph-2076-0082,1973,"Heritage Management, Reconnaissance / Survey","Braxton (County), Burnsville Reservoir, West Virginia (State / Territory)",,
"            Archaeological Survey and Test Excavations in the Burnsville Reservoir 1971-1975, Archival Photograph, 2076-0083             (1973)
",https://core.tdar.org//image/447949/archaeological-survey-and-test-excavations-in-the-burnsville-reservoir-1971-1975-archival-photograph-2076-0083,1973,"Heritage Management, Reconnaissance / Survey","Braxton (County), Burnsville Reservoir, West Virginia (State / Territory)",,
"            Archaeological Survey of Beech Fork Lake, Wayne and Cabell Counties, West Virginia             (1975)
",https://core.tdar.org//document/447999/archaeological-survey-of-beech-fork-lake-wayne-and-cabell-counties-west-virginia,1975,"Archaeological Overview, Data Recovery / Excavation, Heritage Management, Reconnaissance / Survey, Site Evaluation / Testing","Beech Fork Lake, Cabell (County), Lavalette, Wayne (County)","Early Woodland, Historic, PaleoIndian, Prehistoric, Woodland","
            English
            "
